"consulta","entorno","tiempo_planificacion","tiempo_ejecucion","distribucion","vectorizado"
"1_historial_usuario","cluster_3nodos","25ms","3ms","local","true"
"1_historial_usuario","nodo_unico","973┬Ás","3ms","local","true"
"2_top10_productos_trimestre","cluster_3nodos","32ms","625ms","full","true"
"2_top10_productos_trimestre","nodo_unico","3ms","1.1s","full","true"
"3_encabezado_detalle_dia","cluster_3nodos","2ms","11ms","full","true"
"3_encabezado_detalle_dia","nodo_unico","9ms","78ms","local","true"
"4_catalogo_categoria","cluster_3nodos","42ms","44ms","local","true"
"4_catalogo_categoria","nodo_unico","2ms","2s","full","true"
"5_reporte_trimestral","cluster_3nodos","1ms","4s","full","true"
"5_reporte_trimestral","nodo_unico","22ms","8s","full","true"
