"marca_tiempo","evento"
"2026-09-01 02:14:59.211","Inicio de la prueba. Tres nodos deberian estar sanos."
"2026-09-01 02:15:00.175","Consulta 'tres_nodos_antes': exito=True, latencia=464.01ms"
"2026-09-01 02:15:00.179","Deteniendo tiendatech-crdb-2 con docker kill."
"2026-09-01 02:15:05.658","Consulta 'inmediatamente_tras_caida': exito=True, latencia=4919.55ms"
"2026-09-01 02:15:05.663","Esperando 30 segundos antes de observar la redistribucion."
"2026-09-01 02:15:35.679","Observando redistribucion tras la espera de 30s."
"2026-09-01 02:15:36.592","Consulta 'tras_espera_30s': exito=True, latencia=428.94ms"
"2026-09-01 02:15:36.593","Reincorporando tiendatech-crdb-2 con docker start. Iniciando cronometro de reintegracion."
"2026-09-01 02:15:40.218","Nodo 2 reintegrado (is_live=true) en 3.62 segundos desde 'docker start'."
"2026-09-01 02:15:41.723","Consulta 'tras_reintegracion': exito=True, latencia=918.4ms"
