"etapa","repeticion","exito","latencia_ms","codigo_salida","respuesta"
"tres_nodos","1","True","367.7","0","SET ordenes_dia 1370"
"tres_nodos","2","True","354.63","0","SET ordenes_dia 1370"
"tres_nodos","3","True","374.03","0","SET ordenes_dia 1370"
"tres_nodos","4","True","595.09","0","SET ordenes_dia 1370"
"tres_nodos","5","True","450.19","0","SET ordenes_dia 1370"
"un_nodo_caido","1","True","350.17","0","SET ordenes_dia 1370"
"un_nodo_caido","2","True","392.61","0","SET ordenes_dia 1370"
"un_nodo_caido","3","True","367.33","0","SET ordenes_dia 1370"
"un_nodo_caido","4","True","631.52","0","SET ordenes_dia 1370"
"un_nodo_caido","5","True","375.59","0","SET ordenes_dia 1370"
"recuperado","1","True","355.56","0","SET ordenes_dia 1370"
"recuperado","2","True","349.9","0","SET ordenes_dia 1370"
"recuperado","3","True","343.28","0","SET ordenes_dia 1370"
"recuperado","4","True","394.8","0","SET ordenes_dia 1370"
"recuperado","5","True","486.56","0","SET ordenes_dia 1370"
"dos_nodos_caidos","1","False","8890.15","1","SET docker.exe : ERROR: query execution canceled due to statement timeout En D:\Programas\PFC-AppsDistribuidas\docs\evidencias\probar-tolerancia-fallos.ps1: 30 Carácter: 18 +         $texto = & docker exec $nodo1 cockroach sql ` +                  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~     + CategoryInfo          : NotSpecified: (ERROR: query ex...atement timeout:String) [], RemoteException     + FullyQualifiedErrorId : NativeCommandError   SQLSTATE: 57014 Failed running ""sql"""
