Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788529480,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788529481,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788529482,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788529483,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788529485,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788529486,25,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788529487,30,,Aggregated,0.000000,0.000000,4900,5000,5900,6000,6000,6100,6100,6100,6100,6100,6100,15,5,4900.0,4463.515447733327,1627.8805940000325,6094.064240000023,1637.1333333333334
1788529488,35,,Aggregated,0.000000,0.000000,4100,5000,5900,5900,6000,6100,6100,6100,6100,6100,6100,19,7,4100.0,4161.305867210519,1627.8805940000325,6094.064240000023,1564.7368421052631
1788529489,40,,Aggregated,0.000000,0.000000,3400,4900,5000,5900,6000,6100,6800,6800,6800,6800,6800,34,17,3200.0,3601.6897615882326,1040.3565970000273,6801.995549000026,1337.9411764705883
1788529490,45,,Aggregated,2.142857,0.714286,2400,3400,4800,4900,5900,6000,6100,6800,6800,6800,6800,52,22,2400.0,3035.280910346151,1040.3565970000273,6801.995549000026,1448.75
1788529491,50,,Aggregated,2.375000,0.875000,2400,3100,4000,4900,5900,6000,6100,6800,6800,6800,6800,59,26,2400.0,2899.4791535762697,1040.3565970000273,6801.995549000026,1406.5254237288136
1788529492,50,,Aggregated,5.200000,2.200000,2300,2700,3200,3900,5800,6000,6100,6800,6800,6800,6800,80,39,2200.0,2710.4920863624984,611.8659769999795,6801.995549000026,1288.5125
1788529493,50,,Aggregated,5.200000,2.200000,2300,2900,3200,3400,5000,5900,6100,6800,6800,6800,6800,84,43,2300.0,2713.7520963333304,611.8659769999795,6801.995549000026,1239.5595238095239
1788529494,50,,Aggregated,5.900000,2.600000,2400,3000,3200,3400,5000,5900,6100,6800,6800,6800,6800,91,45,2400.0,2710.6932571868088,611.8659769999795,6801.995549000026,1240.142857142857
1788529495,50,,Aggregated,7.800000,3.800000,2500,3100,3600,4000,5000,5900,6100,6800,6800,6800,6800,99,51,2500.0,2817.8425287979753,611.8659769999795,6801.995549000026,1202.6969696969697
