transport,sequence,latency_ms,accepted,mean_ms,median_ms,stddev_ms,p95_ms
gRPC,1,24.734607,true,24.708190,22.847667,6.166322,38.863600
gRPC,2,19.715279,true,24.708190,22.847667,6.166322,38.863600
gRPC,3,20.052358,true,24.708190,22.847667,6.166322,38.863600
gRPC,4,22.959274,true,24.708190,22.847667,6.166322,38.863600
gRPC,5,20.128008,true,24.708190,22.847667,6.166322,38.863600
gRPC,6,25.877006,true,24.708190,22.847667,6.166322,38.863600
gRPC,7,29.576596,true,24.708190,22.847667,6.166322,38.863600
gRPC,8,26.043803,true,24.708190,22.847667,6.166322,38.863600
gRPC,9,24.478933,true,24.708190,22.847667,6.166322,38.863600
gRPC,10,27.811350,true,24.708190,22.847667,6.166322,38.863600
gRPC,11,28.086701,true,24.708190,22.847667,6.166322,38.863600
gRPC,12,22.645333,true,24.708190,22.847667,6.166322,38.863600
gRPC,13,33.334025,true,24.708190,22.847667,6.166322,38.863600
gRPC,14,23.505047,true,24.708190,22.847667,6.166322,38.863600
gRPC,15,26.278771,true,24.708190,22.847667,6.166322,38.863600
gRPC,16,38.597834,true,24.708190,22.847667,6.166322,38.863600
gRPC,17,23.738432,true,24.708190,22.847667,6.166322,38.863600
gRPC,18,30.452899,true,24.708190,22.847667,6.166322,38.863600
gRPC,19,21.580984,true,24.708190,22.847667,6.166322,38.863600
gRPC,20,25.169026,true,24.708190,22.847667,6.166322,38.863600
gRPC,21,20.460431,true,24.708190,22.847667,6.166322,38.863600
gRPC,22,27.901904,true,24.708190,22.847667,6.166322,38.863600
gRPC,23,19.849278,true,24.708190,22.847667,6.166322,38.863600
gRPC,24,20.531976,true,24.708190,22.847667,6.166322,38.863600
gRPC,25,21.758930,true,24.708190,22.847667,6.166322,38.863600
gRPC,26,23.981529,true,24.708190,22.847667,6.166322,38.863600
gRPC,27,19.430293,true,24.708190,22.847667,6.166322,38.863600
gRPC,28,19.637174,true,24.708190,22.847667,6.166322,38.863600
gRPC,29,22.769487,true,24.708190,22.847667,6.166322,38.863600
gRPC,30,21.952534,true,24.708190,22.847667,6.166322,38.863600
gRPC,31,20.799431,true,24.708190,22.847667,6.166322,38.863600
gRPC,32,21.183792,true,24.708190,22.847667,6.166322,38.863600
gRPC,33,20.623514,true,24.708190,22.847667,6.166322,38.863600
gRPC,34,22.182477,true,24.708190,22.847667,6.166322,38.863600
gRPC,35,26.498420,true,24.708190,22.847667,6.166322,38.863600
gRPC,36,21.446105,true,24.708190,22.847667,6.166322,38.863600
gRPC,37,21.373292,true,24.708190,22.847667,6.166322,38.863600
gRPC,38,23.306113,true,24.708190,22.847667,6.166322,38.863600
gRPC,39,23.662935,true,24.708190,22.847667,6.166322,38.863600
gRPC,40,25.569159,true,24.708190,22.847667,6.166322,38.863600
gRPC,41,22.607475,true,24.708190,22.847667,6.166322,38.863600
gRPC,42,22.979710,true,24.708190,22.847667,6.166322,38.863600
gRPC,43,23.059550,true,24.708190,22.847667,6.166322,38.863600
gRPC,44,20.551777,true,24.708190,22.847667,6.166322,38.863600
gRPC,45,22.372030,true,24.708190,22.847667,6.166322,38.863600
gRPC,46,21.994310,true,24.708190,22.847667,6.166322,38.863600
gRPC,47,19.842665,true,24.708190,22.847667,6.166322,38.863600
gRPC,48,22.736583,true,24.708190,22.847667,6.166322,38.863600
gRPC,49,24.205426,true,24.708190,22.847667,6.166322,38.863600
gRPC,50,25.733462,true,24.708190,22.847667,6.166322,38.863600
gRPC,51,25.724331,true,24.708190,22.847667,6.166322,38.863600
gRPC,52,20.355677,true,24.708190,22.847667,6.166322,38.863600
gRPC,53,24.798871,true,24.708190,22.847667,6.166322,38.863600
gRPC,54,22.925847,true,24.708190,22.847667,6.166322,38.863600
gRPC,55,22.547791,true,24.708190,22.847667,6.166322,38.863600
gRPC,56,22.458924,true,24.708190,22.847667,6.166322,38.863600
gRPC,57,24.334751,true,24.708190,22.847667,6.166322,38.863600
gRPC,58,24.109016,true,24.708190,22.847667,6.166322,38.863600
gRPC,59,22.277941,true,24.708190,22.847667,6.166322,38.863600
gRPC,60,27.185199,true,24.708190,22.847667,6.166322,38.863600
gRPC,61,24.953993,true,24.708190,22.847667,6.166322,38.863600
gRPC,62,24.066736,true,24.708190,22.847667,6.166322,38.863600
gRPC,63,24.069182,true,24.708190,22.847667,6.166322,38.863600
gRPC,64,27.459588,true,24.708190,22.847667,6.166322,38.863600
