transport,sequence,latency_ms,accepted,mean_ms,median_ms,stddev_ms,p95_ms
TCP,1,15.351158,true,55.452803,52.935561,8.898263,70.981766
TCP,2,61.538216,true,55.452803,52.935561,8.898263,70.981766
TCP,3,52.761028,true,55.452803,52.935561,8.898263,70.981766
TCP,4,53.024219,true,55.452803,52.935561,8.898263,70.981766
TCP,5,54.942805,true,55.452803,52.935561,8.898263,70.981766
TCP,6,51.875460,true,55.452803,52.935561,8.898263,70.981766
TCP,7,50.085818,true,55.452803,52.935561,8.898263,70.981766
TCP,8,50.711957,true,55.452803,52.935561,8.898263,70.981766
TCP,9,51.922470,true,55.452803,52.935561,8.898263,70.981766
TCP,10,52.071890,true,55.452803,52.935561,8.898263,70.981766
TCP,11,52.680467,true,55.452803,52.935561,8.898263,70.981766
TCP,12,51.967011,true,55.452803,52.935561,8.898263,70.981766
TCP,13,50.934810,true,55.452803,52.935561,8.898263,70.981766
TCP,14,52.195334,true,55.452803,52.935561,8.898263,70.981766
TCP,15,52.574809,true,55.452803,52.935561,8.898263,70.981766
TCP,16,53.034207,true,55.452803,52.935561,8.898263,70.981766
TCP,17,52.035614,true,55.452803,52.935561,8.898263,70.981766
TCP,18,51.729873,true,55.452803,52.935561,8.898263,70.981766
TCP,19,52.027106,true,55.452803,52.935561,8.898263,70.981766
TCP,20,52.765580,true,55.452803,52.935561,8.898263,70.981766
TCP,21,53.873753,true,55.452803,52.935561,8.898263,70.981766
TCP,22,51.933280,true,55.452803,52.935561,8.898263,70.981766
TCP,23,53.101862,true,55.452803,52.935561,8.898263,70.981766
TCP,24,55.743105,true,55.452803,52.935561,8.898263,70.981766
TCP,25,56.825475,true,55.452803,52.935561,8.898263,70.981766
TCP,26,51.922916,true,55.452803,52.935561,8.898263,70.981766
TCP,27,52.940679,true,55.452803,52.935561,8.898263,70.981766
TCP,28,55.986102,true,55.452803,52.935561,8.898263,70.981766
TCP,29,51.846550,true,55.452803,52.935561,8.898263,70.981766
TCP,30,55.009699,true,55.452803,52.935561,8.898263,70.981766
TCP,31,59.806404,true,55.452803,52.935561,8.898263,70.981766
TCP,32,50.993410,true,55.452803,52.935561,8.898263,70.981766
TCP,33,51.848250,true,55.452803,52.935561,8.898263,70.981766
TCP,34,50.860195,true,55.452803,52.935561,8.898263,70.981766
TCP,35,53.993535,true,55.452803,52.935561,8.898263,70.981766
TCP,36,52.001234,true,55.452803,52.935561,8.898263,70.981766
TCP,37,51.882761,true,55.452803,52.935561,8.898263,70.981766
TCP,38,52.978393,true,55.452803,52.935561,8.898263,70.981766
TCP,39,50.914777,true,55.452803,52.935561,8.898263,70.981766
TCP,40,53.043557,true,55.452803,52.935561,8.898263,70.981766
TCP,41,51.707631,true,55.452803,52.935561,8.898263,70.981766
TCP,42,55.062451,true,55.452803,52.935561,8.898263,70.981766
TCP,43,57.699011,true,55.452803,52.935561,8.898263,70.981766
TCP,44,53.079844,true,55.452803,52.935561,8.898263,70.981766
TCP,45,51.936378,true,55.452803,52.935561,8.898263,70.981766
TCP,46,49.809996,true,55.452803,52.935561,8.898263,70.981766
TCP,47,50.949665,true,55.452803,52.935561,8.898263,70.981766
TCP,48,50.926751,true,55.452803,52.935561,8.898263,70.981766
TCP,49,53.016974,true,55.452803,52.935561,8.898263,70.981766
TCP,50,50.821540,true,55.452803,52.935561,8.898263,70.981766
TCP,51,52.929826,true,55.452803,52.935561,8.898263,70.981766
TCP,52,52.904391,true,55.452803,52.935561,8.898263,70.981766
TCP,53,51.007538,true,55.452803,52.935561,8.898263,70.981766
TCP,54,51.954347,true,55.452803,52.935561,8.898263,70.981766
TCP,55,53.858763,true,55.452803,52.935561,8.898263,70.981766
TCP,56,52.995967,true,55.452803,52.935561,8.898263,70.981766
TCP,57,51.964701,true,55.452803,52.935561,8.898263,70.981766
TCP,58,52.818883,true,55.452803,52.935561,8.898263,70.981766
TCP,59,52.010159,true,55.452803,52.935561,8.898263,70.981766
TCP,60,51.918483,true,55.452803,52.935561,8.898263,70.981766
TCP,61,52.851131,true,55.452803,52.935561,8.898263,70.981766
TCP,62,56.972311,true,55.452803,52.935561,8.898263,70.981766
TCP,63,57.908642,true,55.452803,52.935561,8.898263,70.981766
TCP,64,60.966335,true,55.452803,52.935561,8.898263,70.981766
TCP,65,73.630043,true,55.452803,52.935561,8.898263,70.981766
TCP,66,60.006062,true,55.452803,52.935561,8.898263,70.981766
TCP,67,54.818686,true,55.452803,52.935561,8.898263,70.981766
TCP,68,59.436435,true,55.452803,52.935561,8.898263,70.981766
TCP,69,70.842383,true,55.452803,52.935561,8.898263,70.981766
TCP,70,60.716074,true,55.452803,52.935561,8.898263,70.981766
TCP,71,54.687111,true,55.452803,52.935561,8.898263,70.981766
TCP,72,66.073724,true,55.452803,52.935561,8.898263,70.981766
TCP,73,61.748963,true,55.452803,52.935561,8.898263,70.981766
TCP,74,52.930442,true,55.452803,52.935561,8.898263,70.981766
TCP,75,53.860097,true,55.452803,52.935561,8.898263,70.981766
TCP,76,53.903146,true,55.452803,52.935561,8.898263,70.981766
TCP,77,54.953476,true,55.452803,52.935561,8.898263,70.981766
TCP,78,52.904637,true,55.452803,52.935561,8.898263,70.981766
TCP,79,82.231635,true,55.452803,52.935561,8.898263,70.981766
TCP,80,85.565599,true,55.452803,52.935561,8.898263,70.981766
TCP,81,89.923642,true,55.452803,52.935561,8.898263,70.981766
TCP,82,94.826346,true,55.452803,52.935561,8.898263,70.981766
TCP,83,63.861763,true,55.452803,52.935561,8.898263,70.981766
TCP,84,56.898655,true,55.452803,52.935561,8.898263,70.981766
TCP,85,52.900137,true,55.452803,52.935561,8.898263,70.981766
TCP,86,58.941809,true,55.452803,52.935561,8.898263,70.981766
TCP,87,52.886405,true,55.452803,52.935561,8.898263,70.981766
TCP,88,66.052196,true,55.452803,52.935561,8.898263,70.981766
TCP,89,60.631202,true,55.452803,52.935561,8.898263,70.981766
TCP,90,51.983455,true,55.452803,52.935561,8.898263,70.981766
TCP,91,50.952349,true,55.452803,52.935561,8.898263,70.981766
TCP,92,54.851227,true,55.452803,52.935561,8.898263,70.981766
TCP,93,57.930483,true,55.452803,52.935561,8.898263,70.981766
TCP,94,51.031559,true,55.452803,52.935561,8.898263,70.981766
TCP,95,55.777293,true,55.452803,52.935561,8.898263,70.981766
TCP,96,51.974497,true,55.452803,52.935561,8.898263,70.981766
TCP,97,56.948253,true,55.452803,52.935561,8.898263,70.981766
TCP,98,50.960505,true,55.452803,52.935561,8.898263,70.981766
TCP,99,54.882086,true,55.452803,52.935561,8.898263,70.981766
TCP,100,50.950401,true,55.452803,52.935561,8.898263,70.981766
