fallo,concurrencia,p95_2pc_mediana_ms,p95_saga_mediana_ms,u_p95,a12_2pc_mayor_saga_p95,p_exacto_permutacion_p95,significativo_bonferroni,confirmacion_2pc_mediana_pct,confirmacion_saga_mediana_pct
none,50,37000.0,30000.0,23.0,0.92,0.031746032,False,100.0,95.23
none,100,66000.0,59000.0,22.0,0.88,0.055555556,False,96.77,98.3
none,200,90000.0,90000.0,16.0,0.64,0.444444444,False,36.9,46.11
none,400,92000.0,91000.0,15.0,0.6,0.761904762,False,6.52,10.71
omission,50,36000.0,33000.0,17.5,0.7,0.333333333,False,82.98,85.19
omission,100,68000.0,60000.0,20.0,0.8,0.150793651,False,86.23,88.44
omission,200,90000.0,86000.0,22.5,0.9,0.047619048,False,36.66,41.67
omission,400,92000.0,92000.0,15.0,0.6,1.0,False,8.98,7.24
timing,50,37000.0,33000.0,24.0,0.96,0.023809524,False,100.0,100.0
timing,100,68000.0,60000.0,24.5,0.98,0.015873016,False,93.79,97.4
timing,200,90000.0,89000.0,20.0,0.8,0.166666667,False,30.2,50.58
timing,400,92000.0,90000.0,12.0,0.48,1.0,False,10.73,13.11
