fallo,concurrencia,metrica,grupo_a,grupo_b,n_a,n_b,u,z_aprox,p_aprox,p_exacto,p_usado_bilateral,a12_2pc_mayor_saga,comparaciones_por_metrica,umbral_bonferroni,significativo_0_05,significativo_bonferroni,estado
none,50,latencia_p95_ms,2pc,saga,5,5,23.0,2.193378,0.02828,,0.02828,0.92,12,0.004166667,True,False,calculado
none,100,latencia_p95_ms,2pc,saga,5,5,22.0,1.984485,0.047202,,0.047202,0.88,12,0.004166667,True,False,calculado
none,200,latencia_p95_ms,2pc,saga,5,5,16.0,0.731126,0.464702,,0.464702,0.64,12,0.004166667,False,False,calculado
none,400,latencia_p95_ms,2pc,saga,5,5,15.0,0.522233,0.601508,,0.601508,0.6,12,0.004166667,False,False,calculado
omission,50,latencia_p95_ms,2pc,saga,5,5,17.5,1.044466,0.29627,,0.29627,0.7,12,0.004166667,False,False,calculado
omission,100,latencia_p95_ms,2pc,saga,5,5,20.0,1.566699,0.117185,0.150793651,0.150793651,0.8,12,0.004166667,False,False,calculado
omission,200,latencia_p95_ms,2pc,saga,5,5,22.5,2.088932,0.036714,,0.036714,0.9,12,0.004166667,True,False,calculado
omission,400,latencia_p95_ms,2pc,saga,5,5,15.0,0.522233,0.601508,,0.601508,0.6,12,0.004166667,False,False,calculado
timing,50,latencia_p95_ms,2pc,saga,5,5,24.0,2.402272,0.016294,,0.016294,0.96,12,0.004166667,True,False,calculado
timing,100,latencia_p95_ms,2pc,saga,5,5,24.5,2.506718,0.012186,,0.012186,0.98,12,0.004166667,True,False,calculado
timing,200,latencia_p95_ms,2pc,saga,5,5,20.0,1.566699,0.117185,,0.117185,0.8,12,0.004166667,False,False,calculado
timing,400,latencia_p95_ms,2pc,saga,5,5,12.0,-0.104447,0.916815,,0.916815,0.48,12,0.004166667,False,False,calculado
none,50,throughput_rps,2pc,saga,5,5,6.0,-1.357806,0.174525,0.222222222,0.222222222,0.24,12,0.004166667,False,False,calculado
none,100,throughput_rps,2pc,saga,5,5,6.0,-1.357806,0.174525,0.222222222,0.222222222,0.24,12,0.004166667,False,False,calculado
none,200,throughput_rps,2pc,saga,5,5,15.0,0.522233,0.601508,0.69047619,0.69047619,0.6,12,0.004166667,False,False,calculado
none,400,throughput_rps,2pc,saga,5,5,11.0,-0.31334,0.754023,0.841269841,0.841269841,0.44,12,0.004166667,False,False,calculado
