fallo,coord,concurrencia,repeticion,warmup_seconds,measure_seconds,fault_probability,delay_seconds,usuarios_objetivo,usuarios_spawneados,requests_total,requests_fail,tasa_error,checkout_total,checkout_fail,checkout_confirmadas,tasa_abortos_checkout,codigos_http_json,latencia_p50_ms,latencia_p95_ms,latencia_p99_ms,throughput_rps,locust_cpu_pct_media,locust_cpu_pct_max,locust_mem_mb_media,locust_mem_mb_max,locust_warning_detected,locust_warning_texto,inicio_epoch,duracion_segundos,inicio_utc,fin_utc,ordenes_persistidas,ordenes_sin_factura,facturas_importe_distinto,orden_factura_lineas_distintas,orden_factura_estado,ordenes_stock_ausente_o_distinto,ordenes_descuento_duplicado,inventario_exactamente_una_vez_estado,eventos_stock_negativo,stock_no_negativo_estado,outbox_procesados_saga,outbox_no_resueltos_saga,convergencia_compensacion_ms,convergencia_compensacion_estado,cancelados_compensados_estado,inconsistencias,ordenes_con_inconsistencia,tasa_inconsistencia,oracle_pass
none,2pc,50,1,60.0,300.0,0.0,5.0,50,50,867,0,0.0,408,0,408,0.0,"{""200"": 459, ""201"": 409}",17000,32000,38000,2.7033578182107574,0.0,0.0,74.32,76.24,False,,1788679847.073,322.534,2026-09-06T07:30:47.073000+00:00,2026-09-06T07:36:09.607000+00:00,409,0,0,0,verificado_sin_violaciones,0,0,verificado_sin_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,0,0,0.0,no_verificado
none,2pc,100,1,60.0,300.0,0.0,5.0,100,100,1016,60,0.059055,434,14,420,0.032258,"{""200"": 536, ""201"": 422, ""500"": 3, ""503"": 57}",32000,62000,70000,2.8377084162652237,0.0,0.0,78.87,81.48,False,,1788680417.884,360.762,2026-09-06T07:40:17.884000+00:00,2026-09-06T07:46:18.646000+00:00,425,3,0,0,verificado_con_violaciones,3,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,3,3,0.007059,false
none,2pc,200,1,60.0,300.0,0.0,5.0,200,200,1539,538,0.349578,521,245,276,0.47025,"{""0"": 70, ""200"": 725, ""201"": 280, ""401"": 8, ""409"": 55, ""500"": 121, ""503"": 284}",46000,89000,91000,4.185232219542808,0.0,0.0,86.22,91.12,False,,1788681110.813,370.15,2026-09-06T07:51:50.813000+00:00,2026-09-06T07:58:00.963000+00:00,399,75,0,0,verificado_con_violaciones,75,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,75,75,0.18797,false
none,2pc,400,1,60.0,300.0,0.0,5.0,400,400,3986,2953,0.740843,392,346,46,0.882653,"{""0"": 2424, ""200"": 987, ""201"": 46, ""401"": 193, ""409"": 1, ""500"": 28, ""503"": 307}",17000,90000,92000,10.119134785229434,0.26,50.4,106.5,112.27,False,,1788681944.963,396.445,2026-09-06T08:05:44.963000+00:00,2026-09-06T08:12:21.408000+00:00,240,49,0,0,verificado_con_violaciones,49,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,49,49,0.204167,false
omission,2pc,50,1,60.0,300.0,0.1,5.0,50,50,909,73,0.080308,429,73,356,0.170163,"{""200"": 480, ""201"": 357, ""500"": 73}",16000,32000,38000,2.7355408888392287,0.3,50.4,74.94,77.04,False,,1788682503.389,335.603,2026-09-06T08:15:03.389000+00:00,2026-09-06T08:20:38.992000+00:00,430,73,0,0,verificado_con_violaciones,73,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,73,73,0.169767,false
omission,2pc,100,1,60.0,300.0,0.1,5.0,100,100,930,75,0.080645,412,73,339,0.177184,"{""200"": 516, ""201"": 343, ""500"": 70, ""503"": 5}",35000,67000,76000,2.5529609705271854,0.0,0.0,79.01,81.8,False,,1788683067.091,366.43,2026-09-06T08:24:27.091000+00:00,2026-09-06T08:30:33.521000+00:00,410,67,0,0,verificado_con_violaciones,67,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,67,67,0.163415,false
omission,2pc,200,1,60.0,300.0,0.1,5.0,200,200,1394,439,0.314921,551,349,202,0.633394,"{""0"": 133, ""200"": 753, ""201"": 204, ""401"": 6, ""409"": 3, ""500"": 172, ""503"": 125}",51000,90000,90000,3.59925427621731,0.0,0.8,87.46,92.62,False,,1788683761.073,389.577,2026-09-06T08:36:01.073000+00:00,2026-09-06T08:42:30.650000+00:00,448,122,0,0,verificado_con_violaciones,122,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,122,122,0.272321,false
omission,2pc,400,1,60.0,300.0,0.1,5.0,400,400,3159,2128,0.673631,322,312,10,0.968944,"{""0"": 1867, ""200"": 1021, ""201"": 10, ""401"": 122, ""409"": 2, ""500"": 59, ""503"": 78}",17000,92000,92000,8.013439391090664,0.0,0.0,106.4,112.67,False,,1788684621.652,396.283,2026-09-06T08:50:21.652000+00:00,2026-09-06T08:56:57.935000+00:00,262,177,0,0,verificado_con_violaciones,177,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,177,177,0.675573,false
timing,2pc,50,1,60.0,300.0,0.1,5.0,50,50,857,0,0.0,403,0,403,0.0,"{""200"": 454, ""201"": 404}",17000,34000,39000,2.5894935603380396,0.0,0.0,74.65,76.52,False,,1788685188.696,334.072,2026-09-06T08:59:48.696000+00:00,2026-09-06T09:05:22.768000+00:00,404,0,0,0,verificado_sin_violaciones,0,0,verificado_sin_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,0,0,0.0,no_verificado
timing,2pc,100,1,60.0,300.0,0.1,5.0,100,100,967,49,0.050672,418,23,395,0.055024,"{""200"": 523, ""201"": 400, ""500"": 4, ""503"": 45}",36000,64000,73000,2.5645863657850896,0.0,0.0,79.02,81.81,False,,1788685767.487,379.39,2026-09-06T09:09:27.487000+00:00,2026-09-06T09:15:46.877000+00:00,404,4,0,0,verificado_con_violaciones,4,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,4,4,0.009901,false
