fallo,coord,concurrencia,repeticion,inicio_utc,fin_utc,ordenes_persistidas,ordenes_sin_factura,facturas_importe_distinto,orden_factura_lineas_distintas,orden_factura_estado,ordenes_stock_ausente_o_distinto,ordenes_descuento_duplicado,inventario_exactamente_una_vez_estado,eventos_stock_negativo,stock_no_negativo_estado,outbox_procesados_saga,outbox_no_resueltos_saga,convergencia_compensacion_ms,convergencia_compensacion_estado,cancelados_compensados_estado,inconsistencias,ordenes_con_inconsistencia,tasa_inconsistencia,oracle_pass
none,2pc,50,1,2026-09-06T07:30:47.073000+00:00,2026-09-06T07:36:09.607000+00:00,409,0,0,0,verificado_sin_violaciones,0,0,verificado_sin_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,0,0,0.0,no_verificado
none,2pc,100,1,2026-09-06T07:40:17.884000+00:00,2026-09-06T07:46:18.646000+00:00,425,3,0,0,verificado_con_violaciones,3,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,3,3,0.007059,false
none,2pc,200,1,2026-09-06T07:51:50.813000+00:00,2026-09-06T07:58:00.963000+00:00,399,75,0,0,verificado_con_violaciones,75,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,75,75,0.18797,false
none,2pc,400,1,2026-09-06T08:05:44.963000+00:00,2026-09-06T08:12:21.408000+00:00,240,49,0,0,verificado_con_violaciones,49,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,49,49,0.204167,false
omission,2pc,50,1,2026-09-06T08:15:03.389000+00:00,2026-09-06T08:20:38.992000+00:00,430,73,0,0,verificado_con_violaciones,73,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,73,73,0.169767,false
omission,2pc,100,1,2026-09-06T08:24:27.091000+00:00,2026-09-06T08:30:33.521000+00:00,410,67,0,0,verificado_con_violaciones,67,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,67,67,0.163415,false
omission,2pc,200,1,2026-09-06T08:36:01.073000+00:00,2026-09-06T08:42:30.650000+00:00,448,122,0,0,verificado_con_violaciones,122,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,122,122,0.272321,false
omission,2pc,400,1,2026-09-06T08:50:21.652000+00:00,2026-09-06T08:56:57.935000+00:00,262,177,0,0,verificado_con_violaciones,177,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,177,177,0.675573,false
timing,2pc,50,1,2026-09-06T08:59:48.696000+00:00,2026-09-06T09:05:22.768000+00:00,404,0,0,0,verificado_sin_violaciones,0,0,verificado_sin_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,0,0,0.0,no_verificado
timing,2pc,100,1,2026-09-06T09:09:27.487000+00:00,2026-09-06T09:15:46.877000+00:00,404,4,0,0,verificado_con_violaciones,4,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,4,4,0.009901,false
timing,2pc,200,1,2026-09-06T09:21:17.354000+00:00,2026-09-06T09:27:52.769000+00:00,374,98,0,0,verificado_con_violaciones,98,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,98,98,0.262032,false
timing,2pc,400,1,2026-09-06T09:35:43.604000+00:00,2026-09-06T09:42:19.918000+00:00,272,55,0,0,verificado_con_violaciones,55,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,55,55,0.202206,false
none,saga,50,1,2026-09-06T09:45:22.807000+00:00,2026-09-06T09:51:01.677000+00:00,383,0,0,0,verificado_sin_violaciones,0,0,verificado_sin_violaciones,0,verificado_sin_violaciones,382,1,784369.067,verificado_parcial_con_pendientes,no_verificado,0,0,0.0,no_verificado
none,saga,100,1,2026-09-06T09:55:07.768000+00:00,2026-09-06T10:01:01.185000+00:00,441,2,0,0,verificado_con_violaciones,2,0,verificado_con_violaciones,0,verificado_sin_violaciones,438,1,2326755.758,verificado_parcial_con_pendientes,no_verificado,2,2,0.004535,false
none,saga,200,1,2026-09-06T10:06:40.693000+00:00,2026-09-06T10:13:01.164000+00:00,470,70,0,0,verificado_con_violaciones,70,0,verificado_con_violaciones,0,verificado_sin_violaciones,394,6,4263212.966,verificado_parcial_con_pendientes,no_verificado,70,70,0.148936,false
none,saga,400,1,2026-09-06T10:20:52.971000+00:00,2026-09-06T10:27:29.402000+00:00,345,50,0,0,verificado_con_violaciones,50,0,verificado_con_violaciones,0,verificado_sin_violaciones,288,7,5630062.736,verificado_parcial_con_pendientes,no_verificado,50,50,0.144928,false
omission,saga,50,1,2026-09-06T10:30:17.281000+00:00,2026-09-06T10:35:47.035000+00:00,471,47,0,0,verificado_con_violaciones,48,0,verificado_con_violaciones,0,verificado_sin_violaciones,417,7,7247437.402,verificado_parcial_con_pendientes,no_verificado,48,48,0.101911,false
omission,saga,100,1,2026-09-06T10:39:51.024000+00:00,2026-09-06T10:45:43.705000+00:00,462,44,0,0,verificado_con_violaciones,49,0,verificado_con_violaciones,0,verificado_sin_violaciones,408,10,9209126.188,verificado_parcial_con_pendientes,no_verificado,49,49,0.106061,false
omission,saga,200,1,2026-09-06T10:51:12.795000+00:00,2026-09-06T10:57:24.266000+00:00,477,144,0,0,verificado_con_violaciones,147,0,verificado_con_violaciones,0,verificado_sin_violaciones,324,9,11148292.912,verificado_parcial_con_pendientes,no_verificado,147,147,0.308176,false
omission,saga,400,1,2026-09-06T11:05:18.859000+00:00,2026-09-06T11:11:55.061000+00:00,300,120,0,0,verificado_con_violaciones,120,0,verificado_con_violaciones,0,verificado_sin_violaciones,180,0,12141161.201,verificado,no_verificado,120,120,0.4,false
timing,saga,50,1,2026-09-06T11:14:48.001000+00:00,2026-09-06T11:20:09.387000+00:00,444,0,0,0,verificado_sin_violaciones,2,0,verificado_con_violaciones,0,verificado_sin_violaciones,440,4,13375338.77,verificado_parcial_con_pendientes,no_verificado,2,2,0.004505,false
