fallo,coord,concurrencia,repeticiones,checkout_total,checkout_confirmadas,tasa_confirmacion,tasa_confirmacion_ic95_inf,tasa_confirmacion_ic95_sup,checkout_abortados,tasa_aborto,tasa_aborto_ic95_inf,tasa_aborto_ic95_sup,metodo
none,2pc,50,5,1905,1905,1.0,0.997988,1.0,0,0.0,0.0,0.002012,Wilson score 95%
none,saga,50,5,2008,1913,0.952689,0.942508,0.961142,95,0.047311,0.038858,0.057492,Wilson score 95%
none,2pc,100,5,2054,1925,0.937196,0.925866,0.946893,129,0.062804,0.053107,0.074134,Wilson score 95%
none,saga,100,5,2226,2176,0.977538,0.97051,0.982921,50,0.022462,0.017079,0.02949,Wilson score 95%
none,2pc,200,5,2566,976,0.380359,0.361767,0.399308,1590,0.619641,0.600692,0.638233,Wilson score 95%
none,saga,200,5,2548,1258,0.493721,0.474332,0.513128,1290,0.506279,0.486872,0.525668,Wilson score 95%
none,2pc,400,5,1703,172,0.100998,0.087573,0.11622,1531,0.899002,0.88378,0.912427,Wilson score 95%
none,saga,400,5,1538,187,0.121586,0.10619,0.138869,1351,0.878414,0.861131,0.89381,Wilson score 95%
omission,2pc,50,5,1888,1611,0.853284,0.836607,0.868526,277,0.146716,0.131474,0.163393,Wilson score 95%
omission,saga,50,5,1940,1661,0.856186,0.839867,0.871097,279,0.143814,0.128903,0.160133,Wilson score 95%
omission,2pc,100,5,1992,1693,0.8499,0.833542,0.86491,299,0.1501,0.13509,0.166458,Wilson score 95%
omission,saga,100,5,2124,1847,0.869586,0.854594,0.883243,277,0.130414,0.116757,0.145406,Wilson score 95%
omission,2pc,200,5,2616,977,0.373471,0.355133,0.39218,1639,0.626529,0.60782,0.644867,Wilson score 95%
omission,saga,200,5,2699,1169,0.433123,0.414538,0.451899,1530,0.566877,0.548101,0.585462,Wilson score 95%
omission,2pc,400,5,1593,150,0.094162,0.080781,0.109496,1443,0.905838,0.890504,0.919219,Wilson score 95%
omission,saga,400,5,1735,158,0.091066,0.078417,0.105523,1577,0.908934,0.894477,0.921583,Wilson score 95%
timing,2pc,50,5,1871,1848,0.987707,0.981621,0.991795,23,0.012293,0.008205,0.018379,Wilson score 95%
timing,saga,50,5,2041,2025,0.992161,0.987303,0.995169,16,0.007839,0.004831,0.012697,Wilson score 95%
timing,2pc,100,5,2018,1839,0.911298,0.898099,0.922934,179,0.088702,0.077066,0.101901,Wilson score 95%
timing,saga,100,5,2230,2160,0.96861,0.960528,0.97508,70,0.03139,0.02492,0.039472,Wilson score 95%
timing,2pc,200,5,2412,783,0.324627,0.306232,0.343579,1629,0.675373,0.656421,0.693768,Wilson score 95%
timing,saga,200,5,2768,1440,0.520231,0.501605,0.538802,1328,0.479769,0.461198,0.498395,Wilson score 95%
timing,2pc,400,5,1592,176,0.110553,0.096077,0.126904,1416,0.889447,0.873096,0.903923,Wilson score 95%
timing,saga,400,5,1719,226,0.131472,0.116316,0.148271,1493,0.868528,0.851729,0.883684,Wilson score 95%
