fallo,coord,concurrencia,repeticiones_total,metrica,unidad,n_valido,mediana,ic95_inf,ic95_sup,metodo_ic95,estado
none,2pc,50,5,latencia_p95_ms,ms,5,37000.0,32000.0,47000.0,bootstrap_percentil_20000,calculado
none,2pc,50,5,throughput_rps,requests/s,5,2.664199,2.023902,2.703358,bootstrap_percentil_20000,calculado
none,2pc,50,5,tasa_confirmacion_checkout,proporcion,5,1.0,1.0,1.0,bootstrap_percentil_20000,calculado
none,2pc,50,5,tasa_abortos_checkout,proporcion,5,0.0,0.0,0.0,bootstrap_percentil_20000,calculado
none,2pc,50,5,inconsistencias,ordenes_o_eventos,5,0.0,0.0,0.0,bootstrap_percentil_20000,calculado
none,2pc,50,5,tasa_inconsistencia,proporcion,5,0.0,0.0,0.0,bootstrap_percentil_20000,calculado
none,2pc,50,5,convergencia_compensacion_ms,ms,0,no_verificado,no_verificado,no_verificado,no_verificado,no_verificado
none,saga,50,5,latencia_p95_ms,ms,5,30000.0,29000.0,35000.0,bootstrap_percentil_20000,calculado
none,saga,50,5,throughput_rps,requests/s,5,2.769337,2.604168,2.884984,bootstrap_percentil_20000,calculado
none,saga,50,5,tasa_confirmacion_checkout,proporcion,5,0.952261,0.843137,1.0,bootstrap_percentil_20000,calculado
none,saga,50,5,tasa_abortos_checkout,proporcion,5,0.047739,0.0,0.156863,bootstrap_percentil_20000,calculado
none,saga,50,5,inconsistencias,ordenes_o_eventos,5,0.0,0.0,343.0,bootstrap_percentil_20000,calculado
none,saga,50,5,tasa_inconsistencia,proporcion,5,0.0,0.0,1.0,bootstrap_percentil_20000,calculado
none,saga,50,5,convergencia_compensacion_ms,ms,4,16105160.033,784369.067,27450875.675,bootstrap_percentil_20000,calculado
none,2pc,100,5,latencia_p95_ms,ms,5,66000.0,62000.0,86000.0,bootstrap_percentil_20000,calculado
none,2pc,100,5,throughput_rps,requests/s,5,2.628649,2.360132,2.837708,bootstrap_percentil_20000,calculado
none,2pc,100,5,tasa_confirmacion_checkout,proporcion,5,0.967742,0.79235,0.982885,bootstrap_percentil_20000,calculado
none,2pc,100,5,tasa_abortos_checkout,proporcion,5,0.032258,0.017115,0.20765,bootstrap_percentil_20000,calculado
none,2pc,100,5,inconsistencias,ordenes_o_eventos,5,2.0,1.0,36.0,bootstrap_percentil_20000,calculado
none,2pc,100,5,tasa_inconsistencia,proporcion,5,0.005013,0.002463,0.09863,bootstrap_percentil_20000,calculado
none,2pc,100,5,convergencia_compensacion_ms,ms,0,no_verificado,no_verificado,no_verificado,no_verificado,no_verificado
