fallo,coord,concurrencia,repeticiones,requests_total_mediana,requests_fail_mediana,tasa_error_mediana,checkout_total_mediana,checkout_fail_mediana,checkout_confirmadas_mediana,latencia_p50_ms_mediana,latencia_p95_ms_mediana,latencia_p99_ms_mediana,throughput_rps_mediana,locust_cpu_pct_media_mediana,locust_cpu_pct_max_mediana,locust_mem_mb_media_mediana,locust_mem_mb_max_mediana,duracion_segundos_mediana
none,2pc,50,5,867.0,0.0,0.0,408.0,0.0,408.0,17000.0,37000.0,46000.0,2.664199,0.0,0.0,74.81,76.9,330.458
none,2pc,100,5,953.0,55.0,0.056663,409.0,14.0,402.0,33000.0,66000.0,75000.0,2.628649,0.0,0.0,78.87,81.66,360.762
none,2pc,200,5,1449.0,558.0,0.382716,504.0,318.0,186.0,49000.0,90000.0,90000.0,4.011146,0.0,0.0,86.46,91.58,370.15
none,2pc,400,5,3535.0,2523.0,0.722341,353.0,328.0,20.0,17000.0,92000.0,92000.0,8.963868,0.0,0.0,105.62,111.21,396.386
none,saga,50,5,936.0,55.0,0.062077,398.0,19.0,379.0,17000.0,30000.0,37000.0,2.769337,0.0,0.0,74.8,77.22,338.87
none,saga,100,5,1048.0,13.0,0.013904,454.0,7.0,435.0,32000.0,59000.0,70000.0,2.841999,0.58,104.2,78.47,81.21,366.015
none,saga,200,5,1485.0,582.0,0.39604,490.0,243.0,225.0,47000.0,90000.0,90000.0,3.960419,0.01,1.6,86.34,91.09,374.421
none,saga,400,5,3671.0,2630.0,0.716426,336.0,300.0,36.0,17000.0,91000.0,92000.0,9.323551,0.0,0.0,105.95,112.3,396.329
omission,2pc,50,5,844.0,73.0,0.087447,389.0,68.0,321.0,18000.0,36000.0,42000.0,2.552984,0.0,0.0,74.77,77.04,335.603
omission,2pc,100,5,901.0,70.0,0.077691,392.0,53.0,339.0,35000.0,68000.0,83000.0,2.613715,0.0,0.0,78.74,81.9,359.861
omission,2pc,200,5,1394.0,445.0,0.314921,540.0,329.0,202.0,51000.0,90000.0,90000.0,3.659513,0.0,0.0,86.73,91.62,388.114
omission,2pc,400,5,3496.0,2509.0,0.717677,322.0,294.0,29.0,17000.0,92000.0,92000.0,8.866954,0.5,97.7,106.4,112.29,396.177
omission,saga,50,5,821.0,57.0,0.069428,385.0,46.0,343.0,18000.0,33000.0,39000.0,2.505759,0.0,0.0,74.97,76.86,333.027
omission,saga,100,5,990.0,59.0,0.056731,442.0,54.0,403.0,34000.0,60000.0,69000.0,2.711692,0.0,0.0,78.68,81.27,363.72
omission,saga,200,5,1485.0,501.0,0.351086,547.0,300.0,219.0,48000.0,86000.0,90000.0,3.938606,0.0,0.0,86.24,90.97,377.164
omission,saga,400,5,3219.0,2258.0,0.696728,373.0,329.0,27.0,17000.0,92000.0,92000.0,8.166889,0.5,97.7,106.11,112.07,396.145
timing,2pc,50,5,795.0,0.0,0.0,372.0,0.0,364.0,18000.0,37000.0,43000.0,2.440811,0.0,0.0,74.81,77.2,336.313
timing,2pc,100,5,951.0,65.0,0.066462,398.0,26.0,378.0,36000.0,68000.0,79000.0,2.564586,0.0,0.0,78.9,81.62,379.39
timing,2pc,200,5,1460.0,598.0,0.41213,494.0,337.0,151.0,46000.0,90000.0,90000.0,3.861355,0.0,0.0,86.38,92.0,381.384
timing,2pc,400,5,3398.0,2464.0,0.725132,286.0,248.0,38.0,17000.0,92000.0,92000.0,8.631584,0.0,0.0,105.71,111.21,396.237
timing,saga,50,5,857.0,0.0,0.0,403.0,0.0,403.0,17000.0,33000.0,40000.0,2.621777,0.58,97.7,74.93,76.99,328.736
timing,saga,100,5,1032.0,67.0,0.062037,439.0,12.0,413.0,32000.0,60000.0,71000.0,2.851259,0.0,0.0,78.8,81.32,357.398
timing,saga,200,5,1448.0,413.0,0.285912,555.0,256.0,270.0,49000.0,89000.0,90000.0,3.739297,0.0,0.0,86.63,91.43,388.812
timing,saga,400,5,3998.0,2976.0,0.721805,305.0,293.0,40.0,17000.0,90000.0,92000.0,10.137338,0.0,0.0,105.91,111.64,396.234
