fallo,coord,concurrencia,repeticion,warmup_seconds,measure_seconds,fault_probability,delay_seconds,usuarios_objetivo,usuarios_spawneados,requests_total,requests_fail,tasa_error,checkout_total,checkout_fail,checkout_confirmadas,tasa_abortos_checkout,codigos_http_json,latencia_p50_ms,latencia_p95_ms,latencia_p99_ms,throughput_rps,locust_cpu_pct_media,locust_cpu_pct_max,locust_mem_mb_media,locust_mem_mb_max,locust_warning_detected,locust_warning_texto,inicio_epoch,duracion_segundos
none,2pc,50,1,60.0,300.0,0.0,5.0,50,50,867,0,0.0,408,0,408,0.0,"{""200"": 459, ""201"": 409}",17000,32000,38000,2.7033578182107574,0.0,0.0,74.32,76.24,False,,1788679847.073,322.534
none,2pc,100,1,60.0,300.0,0.0,5.0,100,100,1016,60,0.059055,434,14,420,0.032258,"{""200"": 536, ""201"": 422, ""500"": 3, ""503"": 57}",32000,62000,70000,2.8377084162652237,0.0,0.0,78.87,81.48,False,,1788680417.884,360.762
none,2pc,200,1,60.0,300.0,0.0,5.0,200,200,1539,538,0.349578,521,245,276,0.47025,"{""0"": 70, ""200"": 725, ""201"": 280, ""401"": 8, ""409"": 55, ""500"": 121, ""503"": 284}",46000,89000,91000,4.185232219542808,0.0,0.0,86.22,91.12,False,,1788681110.813,370.15
none,2pc,400,1,60.0,300.0,0.0,5.0,400,400,3986,2953,0.740843,392,346,46,0.882653,"{""0"": 2424, ""200"": 987, ""201"": 46, ""401"": 193, ""409"": 1, ""500"": 28, ""503"": 307}",17000,90000,92000,10.119134785229434,0.26,50.4,106.5,112.27,False,,1788681944.963,396.445
omission,2pc,50,1,60.0,300.0,0.1,5.0,50,50,909,73,0.080308,429,73,356,0.170163,"{""200"": 480, ""201"": 357, ""500"": 73}",16000,32000,38000,2.7355408888392287,0.3,50.4,74.94,77.04,False,,1788682503.389,335.603
omission,2pc,100,1,60.0,300.0,0.1,5.0,100,100,930,75,0.080645,412,73,339,0.177184,"{""200"": 516, ""201"": 343, ""500"": 70, ""503"": 5}",35000,67000,76000,2.5529609705271854,0.0,0.0,79.01,81.8,False,,1788683067.091,366.43
omission,2pc,200,1,60.0,300.0,0.1,5.0,200,200,1394,439,0.314921,551,349,202,0.633394,"{""0"": 133, ""200"": 753, ""201"": 204, ""401"": 6, ""409"": 3, ""500"": 172, ""503"": 125}",51000,90000,90000,3.59925427621731,0.0,0.8,87.46,92.62,False,,1788683761.073,389.577
omission,2pc,400,1,60.0,300.0,0.1,5.0,400,400,3159,2128,0.673631,322,312,10,0.968944,"{""0"": 1867, ""200"": 1021, ""201"": 10, ""401"": 122, ""409"": 2, ""500"": 59, ""503"": 78}",17000,92000,92000,8.013439391090664,0.0,0.0,106.4,112.67,False,,1788684621.652,396.283
timing,2pc,50,1,60.0,300.0,0.1,5.0,50,50,857,0,0.0,403,0,403,0.0,"{""200"": 454, ""201"": 404}",17000,34000,39000,2.5894935603380396,0.0,0.0,74.65,76.52,False,,1788685188.696,334.072
timing,2pc,100,1,60.0,300.0,0.1,5.0,100,100,967,49,0.050672,418,23,395,0.055024,"{""200"": 523, ""201"": 400, ""500"": 4, ""503"": 45}",36000,64000,73000,2.5645863657850896,0.0,0.0,79.02,81.81,False,,1788685767.487,379.39
